promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pLDDT,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm,concordance_n5,composite_v1
PamyB,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.8500,1,1,1,1,1,5,0.9851
PamyB,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.8500,1,1,1,1,1,5,0.9851
PamyB,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.8500,1,1,1,1,1,5,0.9851
PamyB,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.8500,1,1,1,1,1,5,0.9851
PamyB,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.7500,1,1,1,1,1,5,0.9760
PamyB,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.7500,1,1,1,1,1,5,0.9760
PamyB,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.7500,1,1,1,1,1,5,0.9760
PamyB,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.7500,1,1,1,1,1,5,0.9760
PamyB,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.5800,1,1,1,1,1,5,0.9607
PamyB,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.5800,1,1,1,1,1,5,0.9607
PamyB,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.9709,89.5800,1,1,1,1,1,5,0.9607
PamyB,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.9709,89.5800,1,1,1,1,1,5,0.9607
PamyB,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.9709,89.4300,1,1,1,1,1,5,0.9453
PamyB,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.9709,89.4300,1,1,1,1,1,5,0.9453
PamyB,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.9709,89.4300,1,1,1,1,1,5,0.9453
PamyB,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.9709,89.4300,1,1,1,1,1,5,0.9453
PglaA,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.8500,1,1,1,1,1,5,0.9405
PglaA,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.8500,1,1,1,1,1,5,0.9405
PglaA,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.8500,1,1,1,1,1,5,0.9405
PglaA,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.8500,1,1,1,1,1,5,0.9405
PamyB,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.9709,89.3300,1,1,1,1,1,5,0.9362
PamyB,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.9709,89.3300,1,1,1,1,1,5,0.9362
PamyB,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.9709,89.3300,1,1,1,1,1,5,0.9362
PamyB,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.9709,89.3300,1,1,1,1,1,5,0.9362
PglaA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.7500,1,1,1,1,1,5,0.9314
PglaA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.7500,1,1,1,1,1,5,0.9314
PglaA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.7500,1,1,1,1,1,5,0.9314
PglaA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.7500,1,1,1,1,1,5,0.9314
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.5800,1,1,1,1,1,5,0.9160
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.5800,1,1,1,1,1,5,0.9160
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.8252,89.5800,1,1,1,1,1,5,0.9160
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.8252,89.5800,1,1,1,1,1,5,0.9160
PglaA,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.8252,89.4300,1,1,1,1,1,5,0.9006
PglaA,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.8252,89.4300,1,1,1,1,1,5,0.9006
PglaA,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.8252,89.4300,1,1,1,1,1,5,0.9006
PglaA,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.8252,89.4300,1,1,1,1,1,5,0.9006
PglaA,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.8252,89.3300,1,1,1,1,1,5,0.8916
PglaA,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.8252,89.3300,1,1,1,1,1,5,0.8916
PglaA,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.8252,89.3300,1,1,1,1,1,5,0.8916
PglaA,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.8252,89.3300,1,1,1,1,1,5,0.8916
PamyB,SPamyB_pro,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-19.7000,3.6000,1.0000,89.7200,1,0,1,1,1,4,0.9439
PamyB,SPamyB_pro,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-19.7000,3.6000,1.0000,89.7200,1,0,1,1,1,4,0.9439
PamyB,SPamyB_pro,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-19.7000,3.6000,1.0000,89.7200,1,0,1,1,1,4,0.9439
PamyB,SPamyB_pro,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-19.7000,3.6000,1.0000,89.7200,1,0,1,1,1,4,0.9439
PamyB,SPamyB_pro,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-19.7000,3.6000,1.0000,89.6400,1,0,1,1,1,4,0.9367
PamyB,SPamyB_pro,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-19.7000,3.6000,1.0000,89.6400,1,0,1,1,1,4,0.9367
PamyB,SPamyB_pro,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-19.7000,3.6000,1.0000,89.6400,1,0,1,1,1,4,0.9367
