promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pll,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm_pll,concordance_n5,composite_v2
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,1.0200,87.8800,1,1,1,1,1,5,0.9188
PamyB,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,1.0200,89.3100,1,1,1,1,1,5,0.9163
PglaA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.8670,87.8800,1,1,1,1,1,5,0.8726
PglaA,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.8670,89.3100,1,1,1,1,1,5,0.8701
PamyB,SPamyB_pro,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,1.0200,87.8800,1,0,1,1,1,4,0.9344
PamyB,SPamyB_pro,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,1.0200,87.8800,1,0,1,1,1,4,0.9344
PamyB,SPamyB_pro,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,1.0200,89.3100,1,0,1,1,1,4,0.9318
PamyB,SPamyB_pro,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,1.0200,89.3100,1,0,1,1,1,4,0.9318
PamyB,SPamyB,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,88.6800,1,0,1,1,1,4,0.9274
PamyB,SPamyB,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,88.6800,1,0,1,1,1,4,0.9274
PamyB,SPamyB,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,1.0000,90.0000,1,0,1,1,1,4,0.9243
PamyB,SPamyB,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,1.0000,90.0000,1,0,1,1,1,4,0.9243
PamyB,SPamyB,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,87.5300,1,0,1,1,1,4,0.9216
PamyB,SPamyB,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,87.5300,1,0,1,1,1,4,0.9216
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,1.0200,86.4200,1,1,1,1,0,4,0.9115
PamyB,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-12.3000,0.0000,0.9200,85.4200,1,1,1,1,0,4,0.8938
