substrate_to_km_ratio,substrate_occupancy_exact,substrate_occupancy_decimal,active_capacity_time_area_fraction,gross_removal_target_fraction_of_total_local_influx,required_capacity_multiple_exact,required_capacity_multiple_decimal,boundary_type
0.01,1/101,0.00990099009901,0.1,0.25,505/2,252.5,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.1,0.5,505,505,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.1,1,1010,1010,integrated_capacity_equals_total_local_influx
0.01,1/101,0.00990099009901,0.25,0.25,101,101,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.25,0.5,202,202,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.25,1,404,404,integrated_capacity_equals_total_local_influx
0.01,1/101,0.00990099009901,0.5,0.25,101/2,50.5,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.5,0.5,101,101,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.5,1,202,202,integrated_capacity_equals_total_local_influx
0.01,1/101,0.00990099009901,0.75,0.25,101/3,33.6666666667,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.75,0.5,202/3,67.3333333333,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,0.75,1,404/3,134.666666667,integrated_capacity_equals_total_local_influx
0.01,1/101,0.00990099009901,1,0.25,101/4,25.25,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,1,0.5,101/2,50.5,descriptive_partial_gross_removal_slice
0.01,1/101,0.00990099009901,1,1,101,101,integrated_capacity_equals_total_local_influx
0.03,3/103,0.0291262135922,0.1,0.25,515/6,85.8333333333,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.1,0.5,515/3,171.666666667,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.1,1,1030/3,343.333333333,integrated_capacity_equals_total_local_influx
0.03,3/103,0.0291262135922,0.25,0.25,103/3,34.3333333333,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.25,0.5,206/3,68.6666666667,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.25,1,412/3,137.333333333,integrated_capacity_equals_total_local_influx
0.03,3/103,0.0291262135922,0.5,0.25,103/6,17.1666666667,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.5,0.5,103/3,34.3333333333,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.5,1,206/3,68.6666666667,integrated_capacity_equals_total_local_influx
0.03,3/103,0.0291262135922,0.75,0.25,103/9,11.4444444444,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.75,0.5,206/9,22.8888888889,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,0.75,1,412/9,45.7777777778,integrated_capacity_equals_total_local_influx
0.03,3/103,0.0291262135922,1,0.25,103/12,8.58333333333,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,1,0.5,103/6,17.1666666667,descriptive_partial_gross_removal_slice
0.03,3/103,0.0291262135922,1,1,103/3,34.3333333333,integrated_capacity_equals_total_local_influx
0.1,1/11,0.0909090909091,0.1,0.25,55/2,27.5,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.1,0.5,55,55,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.1,1,110,110,integrated_capacity_equals_total_local_influx
0.1,1/11,0.0909090909091,0.25,0.25,11,11,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.25,0.5,22,22,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.25,1,44,44,integrated_capacity_equals_total_local_influx
0.1,1/11,0.0909090909091,0.5,0.25,11/2,5.5,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.5,0.5,11,11,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.5,1,22,22,integrated_capacity_equals_total_local_influx
0.1,1/11,0.0909090909091,0.75,0.25,11/3,3.66666666667,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.75,0.5,22/3,7.33333333333,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,0.75,1,44/3,14.6666666667,integrated_capacity_equals_total_local_influx
0.1,1/11,0.0909090909091,1,0.25,11/4,2.75,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,1,0.5,11/2,5.5,descriptive_partial_gross_removal_slice
0.1,1/11,0.0909090909091,1,1,11,11,integrated_capacity_equals_total_local_influx
0.3,3/13,0.230769230769,0.1,0.25,65/6,10.8333333333,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.1,0.5,65/3,21.6666666667,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.1,1,130/3,43.3333333333,integrated_capacity_equals_total_local_influx
0.3,3/13,0.230769230769,0.25,0.25,13/3,4.33333333333,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.25,0.5,26/3,8.66666666667,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.25,1,52/3,17.3333333333,integrated_capacity_equals_total_local_influx
0.3,3/13,0.230769230769,0.5,0.25,13/6,2.16666666667,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.5,0.5,13/3,4.33333333333,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.5,1,26/3,8.66666666667,integrated_capacity_equals_total_local_influx
0.3,3/13,0.230769230769,0.75,0.25,13/9,1.44444444444,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.75,0.5,26/9,2.88888888889,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,0.75,1,52/9,5.77777777778,integrated_capacity_equals_total_local_influx
0.3,3/13,0.230769230769,1,0.25,13/12,1.08333333333,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,1,0.5,13/6,2.16666666667,descriptive_partial_gross_removal_slice
0.3,3/13,0.230769230769,1,1,13/3,4.33333333333,integrated_capacity_equals_total_local_influx
1,1/2,0.5,0.1,0.25,5,5,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.1,0.5,10,10,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.1,1,20,20,integrated_capacity_equals_total_local_influx
1,1/2,0.5,0.25,0.25,2,2,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.25,0.5,4,4,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.25,1,8,8,integrated_capacity_equals_total_local_influx
1,1/2,0.5,0.5,0.25,1,1,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.5,0.5,2,2,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.5,1,4,4,integrated_capacity_equals_total_local_influx
1,1/2,0.5,0.75,0.25,2/3,0.666666666667,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.75,0.5,4/3,1.33333333333,descriptive_partial_gross_removal_slice
1,1/2,0.5,0.75,1,8/3,2.66666666667,integrated_capacity_equals_total_local_influx
1,1/2,0.5,1,0.25,1/2,0.5,descriptive_partial_gross_removal_slice
1,1/2,0.5,1,0.5,1,1,descriptive_partial_gross_removal_slice
1,1/2,0.5,1,1,2,2,integrated_capacity_equals_total_local_influx
3,3/4,0.75,0.1,0.25,10/3,3.33333333333,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.1,0.5,20/3,6.66666666667,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.1,1,40/3,13.3333333333,integrated_capacity_equals_total_local_influx
3,3/4,0.75,0.25,0.25,4/3,1.33333333333,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.25,0.5,8/3,2.66666666667,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.25,1,16/3,5.33333333333,integrated_capacity_equals_total_local_influx
3,3/4,0.75,0.5,0.25,2/3,0.666666666667,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.5,0.5,4/3,1.33333333333,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.5,1,8/3,2.66666666667,integrated_capacity_equals_total_local_influx
3,3/4,0.75,0.75,0.25,4/9,0.444444444444,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.75,0.5,8/9,0.888888888889,descriptive_partial_gross_removal_slice
3,3/4,0.75,0.75,1,16/9,1.77777777778,integrated_capacity_equals_total_local_influx
3,3/4,0.75,1,0.25,1/3,0.333333333333,descriptive_partial_gross_removal_slice
3,3/4,0.75,1,0.5,2/3,0.666666666667,descriptive_partial_gross_removal_slice
3,3/4,0.75,1,1,4/3,1.33333333333,integrated_capacity_equals_total_local_influx
10,10/11,0.909090909091,0.1,0.25,11/4,2.75,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.1,0.5,11/2,5.5,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.1,1,11,11,integrated_capacity_equals_total_local_influx
10,10/11,0.909090909091,0.25,0.25,11/10,1.1,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.25,0.5,11/5,2.2,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.25,1,22/5,4.4,integrated_capacity_equals_total_local_influx
10,10/11,0.909090909091,0.5,0.25,11/20,0.55,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.5,0.5,11/10,1.1,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.5,1,11/5,2.2,integrated_capacity_equals_total_local_influx
10,10/11,0.909090909091,0.75,0.25,11/30,0.366666666667,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.75,0.5,11/15,0.733333333333,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,0.75,1,22/15,1.46666666667,integrated_capacity_equals_total_local_influx
10,10/11,0.909090909091,1,0.25,11/40,0.275,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,1,0.5,11/20,0.55,descriptive_partial_gross_removal_slice
10,10/11,0.909090909091,1,1,11/10,1.1,integrated_capacity_equals_total_local_influx
100,100/101,0.990099009901,0.1,0.25,101/40,2.525,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.1,0.5,101/20,5.05,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.1,1,101/10,10.1,integrated_capacity_equals_total_local_influx
100,100/101,0.990099009901,0.25,0.25,101/100,1.01,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.25,0.5,101/50,2.02,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.25,1,101/25,4.04,integrated_capacity_equals_total_local_influx
100,100/101,0.990099009901,0.5,0.25,101/200,0.505,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.5,0.5,101/100,1.01,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.5,1,101/50,2.02,integrated_capacity_equals_total_local_influx
100,100/101,0.990099009901,0.75,0.25,101/300,0.336666666667,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.75,0.5,101/150,0.673333333333,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,0.75,1,101/75,1.34666666667,integrated_capacity_equals_total_local_influx
100,100/101,0.990099009901,1,0.25,101/400,0.2525,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,1,0.5,101/200,0.505,descriptive_partial_gross_removal_slice
100,100/101,0.990099009901,1,1,101/100,1.01,integrated_capacity_equals_total_local_influx
