sequence_id,sp,scaffold_base,propeptide,nglyc,protein_length,raw_pll_mean,pseudo_pLDDT
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_3xAla_pts1blk,long_kex2_pro,nglyc_ablated,285,-0.1498,88.58
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,direct_3xAla_pts1blk,long_kex2_pro,nglyc_native,285,-0.1498,88.58
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_ablated,SPalpA,direct_3xAla_pts1blk,none,nglyc_ablated,274,-0.1211,89.40
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_native,SPalpA,direct_3xAla_pts1blk,none,nglyc_native,274,-0.1211,89.40
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,280,-0.1403,88.85
sp_SPalpA__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,280,-0.1403,88.85
sp_SPalpA__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_his6_pts1ok,long_kex2_pro,nglyc_ablated,288,-0.1424,88.79
sp_SPalpA__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,direct_his6_pts1ok,long_kex2_pro,nglyc_native,288,-0.1424,88.79
sp_SPalpA__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,direct_his6_pts1ok,none,nglyc_ablated,277,-0.1134,89.62
sp_SPalpA__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,direct_his6_pts1ok,none,nglyc_native,277,-0.1134,89.62
sp_SPalpA__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,283,-0.1326,89.07
sp_SPalpA__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,direct_his6_pts1ok,short_kex2_pro,nglyc_native,283,-0.1326,89.07
sp_SPalpA__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_natag_pts1ok,long_kex2_pro,nglyc_ablated,282,-0.1443,88.73
sp_SPalpA__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,direct_natag_pts1ok,long_kex2_pro,nglyc_native,282,-0.1443,88.73
sp_SPalpA__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,direct_natag_pts1ok,none,nglyc_ablated,271,-0.1154,89.56
sp_SPalpA__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,direct_natag_pts1ok,none,nglyc_native,271,-0.1154,89.56
sp_SPalpA__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,277,-0.1348,89.01
sp_SPalpA__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,direct_natag_pts1ok,short_kex2_pro,nglyc_native,277,-0.1348,89.01
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_ablated,285,-0.1498,88.58
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_native,285,-0.1498,88.58
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_3xAla,none,nglyc_ablated,274,-0.1211,89.40
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_native,SPalpA,glaA_KRGGG_3xAla,none,nglyc_native,274,-0.1211,89.40
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_ablated,280,-0.1403,88.85
sp_SPalpA__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_native,280,-0.1403,88.85
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_ablated,282,-0.1443,88.73
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_native,282,-0.1443,88.73
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_pts1ok,none,nglyc_ablated,271,-0.1154,89.56
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,glaA_KRGGG_pts1ok,none,nglyc_native,271,-0.1154,89.56
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_ablated,277,-0.1348,89.01
sp_SPalpA__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_native,277,-0.1348,89.01
sp_SPalpA__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KR_3xAla,long_kex2_pro,nglyc_ablated,285,-0.1498,88.58
sp_SPalpA__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KR_3xAla,long_kex2_pro,nglyc_native,285,-0.1498,88.58
sp_SPalpA__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_KR_3xAla,none,nglyc_ablated,274,-0.1211,89.40
sp_SPalpA__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_native,SPalpA,glaA_KR_3xAla,none,nglyc_native,274,-0.1211,89.40
sp_SPalpA__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KR_3xAla,short_kex2_pro,nglyc_ablated,280,-0.1403,88.85
sp_SPalpA__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KR_3xAla,short_kex2_pro,nglyc_native,280,-0.1403,88.85
sp_SPalpA__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KR_pts1ok,long_kex2_pro,nglyc_ablated,282,-0.1443,88.73
sp_SPalpA__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KR_pts1ok,long_kex2_pro,nglyc_native,282,-0.1443,88.73
sp_SPalpA__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_KR_pts1ok,none,nglyc_ablated,271,-0.1154,89.56
sp_SPalpA__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,glaA_KR_pts1ok,none,nglyc_native,271,-0.1154,89.56
sp_SPalpA__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_KR_pts1ok,short_kex2_pro,nglyc_ablated,277,-0.1348,89.01
sp_SPalpA__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_KR_pts1ok,short_kex2_pro,nglyc_native,277,-0.1348,89.01
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_ablated,285,-0.1498,88.58
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_native,285,-0.1498,88.58
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_3xAla,none,nglyc_ablated,274,-0.1211,89.40
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_3xAla,none,nglyc_native,274,-0.1211,89.40
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_ablated,280,-0.1403,88.85
sp_SPalpA__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_native,280,-0.1403,88.85
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_ablated,282,-0.1443,88.73
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_native,282,-0.1443,88.73
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_pts1ok,none,nglyc_ablated,271,-0.1154,89.56
